prefix,fec
124.252.100.160/27,EquivalenceClass(124.252.100.160 - 124.252.100.191)
124.252.100.128/27,EquivalenceClass(124.252.100.128 - 124.252.100.159)
124.252.100.96/27,EquivalenceClass(124.252.100.96 - 124.252.100.127)
124.252.100.64/27,EquivalenceClass(124.252.100.64 - 124.252.100.95)
124.252.98.192/26,EquivalenceClass(124.252.98.192 - 124.252.98.255)
124.252.98.128/26,EquivalenceClass(124.252.98.128 - 124.252.98.191)
124.252.98.64/26,EquivalenceClass(124.252.98.64 - 124.252.98.127)
124.252.98.0/26,EquivalenceClass(124.252.98.0 - 124.252.98.63)
124.252.96.192/26,EquivalenceClass(124.252.96.192 - 124.252.96.255)
124.252.96.128/26,EquivalenceClass(124.252.96.128 - 124.252.96.191)
124.252.96.64/26,EquivalenceClass(124.252.96.64 - 124.252.96.127)
124.252.96.0/26,EquivalenceClass(124.252.96.0 - 124.252.96.63)
124.252.24.0/21,EquivalenceClass(124.252.24.0 - 124.252.31.255)
124.252.23.192/26,EquivalenceClass(124.252.23.192 - 124.252.23.255)
124.252.23.128/26,EquivalenceClass(124.252.23.128 - 124.252.23.191)
124.252.23.64/26,EquivalenceClass(124.252.23.64 - 124.252.23.127)
124.252.23.0/26,EquivalenceClass(124.252.23.0 - 124.252.23.63)
124.252.22.192/26,EquivalenceClass(124.252.22.192 - 124.252.22.255)
124.252.22.128/26,EquivalenceClass(124.252.22.128 - 124.252.22.191)
124.252.22.64/26,EquivalenceClass(124.252.22.64 - 124.252.22.127)
124.252.22.0/26,EquivalenceClass(124.252.22.0 - 124.252.22.63)
124.252.21.192/26,EquivalenceClass(124.252.21.192 - 124.252.21.255)
124.252.21.128/26,EquivalenceClass(124.252.21.128 - 124.252.21.191)
124.252.21.64/26,EquivalenceClass(124.252.21.64 - 124.252.21.127)
124.252.21.0/26,EquivalenceClass(124.252.21.0 - 124.252.21.63)
124.252.20.192/26,EquivalenceClass(124.252.20.192 - 124.252.20.255)
124.252.20.128/26,EquivalenceClass(124.252.20.128 - 124.252.20.191)
124.252.20.64/26,EquivalenceClass(124.252.20.64 - 124.252.20.127)
124.252.20.0/26,EquivalenceClass(124.252.20.0 - 124.252.20.63)
